watershed_group_code,watershed_general,rail_present,ch_spawning_km_total,ch_spawning_km_aboverail,ch_spawning_aboverailxing_pct,ch_rearing_km_total,ch_rearing_km_aboverail,ch_rearing_aboverailxing_pct,cm_spawning_km_total,cm_spawning_km_aboverail,cm_spawning_aboverailxing_pct,co_spawning_km_total,co_spawning_km_aboverail,co_spawning_aboverailxing_pct,co_rearing_km_total,co_rearing_km_aboverail,co_rearing_aboverailxing_pct,pk_spawning_km_total,pk_spawning_km_aboverail,pk_spawning_aboverailxing_pct,sk_spawning_km_total,sk_spawning_km_aboverail,sk_spawning_aboverailxing_pct,sk_rearing_km_total,sk_rearing_km_aboverail,sk_rearing_aboverailxing_pct,st_spawning_km_total,st_spawning_km_aboverail,st_spawning_aboverailxing_pct,st_rearing_km_total,st_rearing_km_aboverail,st_rearing_aboverailxing_pct,all_spawningrearing_km_total,all_spawningrearing_km_aboverail,all_spawningrearing_aboverailxing_pct
ALBN,COASTAL,t,421.18,,,547.06,,,654.62,,,591.45,,,619.80,,,33.55,,,40.32,,,289.16,,,505.75,,,715.94,,,1059.24,,
BBAR,FRASER,t,121.32,,,12.73,,,,,,140.70,,,29.57,,,,,,,,,,,,,,,,,,144.37,,
BONP,FRASER,t,166.56,,,175.38,,,,,,190.35,,,286.01,,,169.92,,,,,,,,,169.30,,,269.38,,,341.80,,
BULK,SKEENA,t,881.46,7.55,0.86,897.76,16.33,1.82,0.13,0.00,0.00,1246.00,22.71,1.82,1561.94,84.01,5.38,1086.77,15.12,1.39,20.14,0.00,0.00,64.56,0.00,0.00,978.89,10.59,1.08,1714.76,72.36,4.22,2190.89,104.00,4.75
CHWK,FRASER,t,198.46,1.30,0.66,235.72,3.59,1.52,437.49,25.03,5.72,293.11,6.90,2.35,398.51,21.29,5.34,228.63,1.30,0.57,7.15,0.00,0.00,62.92,0.00,0.00,209.95,1.30,0.62,425.86,18.61,4.37,522.11,25.11,4.81
COMX,COASTAL,t,271.45,2.51,0.92,345.98,4.91,1.42,410.49,4.91,1.20,388.43,4.91,1.26,448.50,4.91,1.09,395.20,4.91,1.24,15.54,0.00,0.00,48.77,0.00,0.00,325.12,3.16,0.97,449.12,4.91,1.09,577.49,4.91,0.85
COTR,FRASER,t,471.86,0.00,0.00,409.82,0.00,0.00,,0.00,,615.36,0.00,0.00,944.95,7.06,0.75,491.88,0.00,0.00,,0.00,,,0.00,,,0.00,,,0.00,,1050.28,7.06,0.67
COWN,COASTAL,t,396.39,9.19,2.32,486.21,15.59,3.21,608.16,17.55,2.89,537.53,15.62,2.91,569.63,15.82,2.78,563.31,17.55,3.12,,0.00,,,0.00,,430.36,11.17,2.60,599.79,19.44,3.24,693.42,19.64,2.83
DEAD,FRASER,t,73.48,,,80.38,,,,,,93.71,,,115.10,,,82.96,,,,,,,,,78.56,,,97.50,,,118.13,,
DRIR,FRASER,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAN,FRASER,t,236.96,0.00,0.00,243.96,0.00,0.00,,0.00,,,0.00,,,0.00,,,0.00,,109.74,0.00,0.00,849.02,9.75,1.15,,0.00,,,0.00,,1105.54,9.75,0.88
FRCN,FRASER,t,318.52,0.26,0.08,252.48,1.68,0.67,460.88,12.50,2.71,394.89,2.99,0.76,290.26,10.53,3.63,400.62,0.99,0.25,,0.00,,,0.00,,356.36,0.31,0.09,346.73,13.13,3.79,496.72,15.09,3.04
HARR,FRASER,t,179.42,0.39,0.22,142.26,2.21,1.55,387.56,18.21,4.70,266.86,3.70,1.39,250.77,12.78,5.10,223.28,0.77,0.34,20.53,0.00,0.00,546.10,0.00,0.00,200.16,0.39,0.19,283.33,17.30,6.11,952.13,20.10,2.11
KISP,SKEENA,t,725.86,0.93,0.13,915.53,0.93,0.10,1123.97,11.74,1.04,1064.46,9.64,0.91,1218.41,14.00,1.15,1129.37,11.42,1.01,7.23,0.00,0.00,98.35,0.00,0.00,858.64,2.39,0.28,1265.00,3.48,0.28,1552.08,16.10,1.04
