watershed_group_code,watershed_general,aggregated_crossings_id,modelled_crossing_id,stream_crossing_id,barrier_status,pscis_status,pscis_road_name,rail_track_name,rail_operator_english_name,pscis_stream_name,gnis_stream_name,stream_order,stream_order_parent,rail_barriers_dnstr,rail_barriers_dnstr_count,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_upstr_count,barriers_anthropogenic_upstr_accessible_count,barriers_anthropogenic_upstr_spawningrearing_count,barriers_anthropogenic_upstr_spawningrearing_rail_count,barriers_ch_cm_co_pk_sk_dnstr,ch_cm_co_pk_sk_network_km,barriers_st_dnstr,st_network_km,ch_spawning_km,ch_rearing_km,cm_spawning_km,co_spawning_km,co_rearing_km,pk_spawning_km,sk_spawning_km,sk_rearing_km,st_spawning_km,st_rearing_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_cm_co_pk_sk_network_km_dnstr,st_network_km_dnstr,ch_spawning_km_dnstr,ch_rearing_km_dnstr,cm_spawning_km_dnstr,co_spawning_km_dnstr,co_rearing_km_dnstr,pk_spawning_km_dnstr,sk_spawning_km_dnstr,sk_rearing_km_dnstr,st_spawning_km_dnstr,st_rearing_km_dnstr,all_spawningrearing_km_dnstr
ALBN,COASTAL,1000206253,206253,,POTENTIAL,,,None,Southern Railway of Vancouver Island,,,1,2,,,9,3,0,0,0,{260130000582},0,{},0.09,0,0,0,0,0,0,0,0,0,0,0,0,7.01,7.55,3.09,3.34,4.609999999999999,4.29,5.92,0,0,0,3.09,4.609999999999999,6.24
ALBN,COASTAL,1000206261,206261,,POTENTIAL,,,None,Southern Railway of Vancouver Island,,,1,2,,,9,1,0,0,0,{},0.16,{},0.23,0,0,0,0,0,0,0,0,0,0,0,0,7.02,7.01,3.09,3.34,4.61,4.290000000000001,5.919999999999999,0,0,0,3.09,4.61,6.239999999999999
BULK,SKEENA,1001805466,1805466,,POTENTIAL,,,None,Canadian National,,,1,6,,,,3,3,0,0,{62971150000153},0,{},2.24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805467,1805467,,POTENTIAL,,,None,Canadian National,,,1,6,,,,3,3,0,0,{},0.34,{},1.21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805471,1805471,,POTENTIAL,,,Roberts Creek Siding,Canadian National,,,1,8,,,,1,1,0,0,{},0.1,{},0.38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805472,1805472,,POTENTIAL,,,Roberts Creek Siding,Canadian National,,,1,8,,,,1,0,0,0,{},0.56,{},0.56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805473,1805473,,POTENTIAL,,,None,Canadian National,,,2,,,,,1,1,0,0,{},5.13,{},6.19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805474,1805474,,POTENTIAL,,,None,Canadian National,,,3,,,,,5,5,0,0,{},4.29,{},8.49,0,0,0,0,0.56,0,0,0,0,2.18,2.18,2.18,,,,,,,,,,,,,
BULK,SKEENA,1001805475,1805475,,POTENTIAL,,,None,Canadian National,,,1,8,,,,,0,0,0,{},0.44,{},0.44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805476,1805476,,POTENTIAL,,,None,Canadian National,,,1,8,,,,1,1,0,0,{},0.34,{},0.34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805477,1805477,,POTENTIAL,,,None,Canadian National,,,1,8,,,,,0,0,0,{},0,{},0.01,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805478,1805478,,POTENTIAL,,,None,Canadian National,,,2,,,,,3,3,0,0,{},2.24,{},2.24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805479,1805479,,POTENTIAL,,,None,Canadian National,,,3,8,,,,11,10,0,0,{},12.63,{},15.39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805480,1805480,,POTENTIAL,,,None,Canadian National,,,2,8,,,,7,4,0,0,{},5.72,{},5.98,0,0,0,0,0.645,0,0,0,0,0,0.645,0.65,,,,,,,,,,,,,
BULK,SKEENA,1001805481,1805481,,POTENTIAL,,,None,Canadian National,,,3,8,,,,12,9,1,0,{},7.02,{},10.59,0,0,0,0,1.22,0,0,0,0,1.5,1.5,1.13,,,,,,,,,,,,,
BULK,SKEENA,1001805482,1805482,,POTENTIAL,,,None,Canadian National,,Chicken Lake Creek,2,4,,,3,7,5,2,1,{},2.07,{},2.27,0,0,0,0,0.76,0,0,0,0,0.76,0.76,0.01,4.71,4.71,0.11,1.78,0,1.77,3.42,1.78,0,0,1.05,3.73,3.73
BULK,SKEENA,1001805484,1805484,,POTENTIAL,,,None,Canadian National,,,3,4,,,1,15,4,2,0,{},2.48,{},3.78,0,0,0,0,1.83,0,0,0,0,1.83,1.83,0.59,1.92,1.92,0,0,0,0,1.21,0,0,0,0,0.99,1.21
BULK,SKEENA,1001805485,1805485,,POTENTIAL,,,None,Canadian National,,,3,8,,,1,,0,0,0,{},3.58,{},4.49,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0
BULK,SKEENA,1001805486,1805486,,POTENTIAL,,,None,Canadian National,,,1,8,,,1,,0,0,0,{},0.42,{},0.42,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0
BULK,SKEENA,1001805489,1805489,,POTENTIAL,,,None,Canadian National,,,1,6,,,,1,1,0,0,{},0.79,{},0.79,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
BULK,SKEENA,1001805491,1805491,,POTENTIAL,,,None,Canadian National,,,2,8,,,2,4,2,0,0,{},0.74,{},2.53,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.98,0.98,0,0,0,0,0,0,0,0,0,0.86,0.86
BULK,SKEENA,1001805492,1805492,,POTENTIAL,,,None,Canadian National,,,1,2,,,1,1,0,0,0,{},0.27,{},0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.87,0,0,0,0,0,0,0,0,0,0.75,0.75
BULK,SKEENA,1001805495,1805495,,POTENTIAL,,,None,Canadian National,,,1,2,,,2,2,2,0,0,{},0.68,{},0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.66,0,0,0,0,0,0,0,0,0,0,0
