aggregated_crossings_id,basin,watershed_group_code,watershed_group_name,gnis_stream_name,non_rail_barriers_dnstr,non_rail_barriers_upstr,all_spawningrearing_km,spawningrearing_upstr_tonextbarrier
1010305109,FRASER,LFRA,Lower Fraser,Salmon River,3,43,54.97,
1019703257,FRASER,TABR,Tabor River,Tabor Creek,1,11,47.77,
1014904165,FRASER,NARC,Narcosli Creek,Australian Creek,1,22,44.96,
1014904171,FRASER,NARC,Narcosli Creek,Cuisson Creek,1,15,35.58,
1017104195,FRASER,QUES,Quesnel River,Barlow Creek,3,25,31.39,
1024403842,FRASER,WILL,Willow River,Hay Creek,1,30,23.48,
62711,FRASER,STUL,Stuart Lake,Prairie Meadow Creek,2,14,19.52,
1024712996,FRASER,LFRA,Lower Fraser,Benson Canal,1,14,18.93,
1013905446,FRASER,MORK,Morkill River,,1,9,16.70,
1024704084,FRASER,LFRA,Lower Fraser,Nathan Creek,3,11,15.10,
1019302266,FRASER,STUL,Stuart Lake,,2,1,14.27,
1019302252,FRASER,STUL,Stuart Lake,,3,3,14.25,
1019703286,FRASER,TABR,Tabor River,Bittner Creek,1,15,14.24,
197960,SKEENA,BULK,Bulkley River,Corya Creek,1,0,12.34,
197620,SKEENA,SUST,Sustut River,Triple Creek,1,0,12.29,
1019703310,FRASER,TABR,Tabor River,Haggith Creek,1,5,10.50,
1014904188,FRASER,NARC,Narcosli Creek,Kersley Creek,3,9,9.31,
1012401273,SKEENA,LSKE,Lower Skeena River,,1,0,8.56,
1014001256,SKEENA,MORR,Morice River,,4,5,8.36,
1008501817,SKEENA,KITR,Kitimat River,,1,2,8.11,
1016502659,COASTAL,PARK,Parksville,Thames Creek,3,9,7.79,
1018303492,FRASER,SHUL,Shuswap Lake,Broderick Creek,9,2,6.92,
1010702834,FRASER,LILL,Lillooet,,1,2,6.53,
1002801612,FRASER,CHWK,Chilliwack River,Wilson Slough,1,5,6.50,
1010305045,FRASER,LFRA,Lower Fraser,,3,22,6.21,
1005406232,FRASER,FRAN,Francois Lake,Sheraton Creek,1,2,5.67,
1003607009,COASTAL,COWN,Cowichan,Averill Creek,1,4,5.51,
1023204164,FRASER,UNTH,Upper North Thompson River,Albreda River,1,0,5.47,
1013905403,FRASER,MORK,Morkill River,Guilford Creek,1,1,4.90,
1010305062,FRASER,LFRA,Lower Fraser,,2,4,4.83,
1016502637,COASTAL,PARK,Parksville,Craig Creek,1,8,4.62,
1010305157,FRASER,LFRA,Lower Fraser,West Creek,4,11,4.32,
1010305111,FRASER,LFRA,Lower Fraser,,1,1,4.18,
1010305084,FRASER,LFRA,Lower Fraser,Willband Creek,1,3,4.10,
1002801610,FRASER,CHWK,Chilliwack River,Elk Brook,2,1,4.06,
1016502648,COASTAL,PARK,Parksville,Beck Creek,3,3,3.98,
1001805577,SKEENA,BULK,Bulkley River,Graphite Creek,3,1,3.64,
1003403396,COASTAL,COMX,Comox,Roy Creek,1,5,3.57,
1013905537,FRASER,MORK,Morkill River,,1,4,3.42,
1003607027,COASTAL,COWN,Cowichan,Patrolas Creek,2,3,3.31,
1003607017,COASTAL,COWN,Cowichan,Tyee Creek,1,6,3.31,
1012202227,FRASER,LSAL,Lower Salmon River,,1,2,3.30,
1013905386,FRASER,MORK,Morkill River,,4,4,3.21,
1010305154,FRASER,LFRA,Lower Fraser,,3,6,2.92,
1010305141,FRASER,LFRA,Lower Fraser,Stoney Creek,1,4,2.91,
1016502649,COASTAL,PARK,Parksville,Knarston Creek,4,1,2.86,
1016502641,COASTAL,PARK,Parksville,Morningstar Creek,5,5,2.85,
1016502633,COASTAL,PARK,Parksville,Whisky Creek,5,7,2.67,
1017701078,FRASER,SALR,Salmon River,,1,2,2.66,
1013905387,FRASER,MORK,Morkill River,Horseshoe Creek,1,1,2.65,
1010305087,FRASER,LFRA,Lower Fraser,,1,4,2.65,
1002801603,FRASER,CHWK,Chilliwack River,,7,4,2.62,
1001805548,SKEENA,BULK,Bulkley River,Glass Creek,3,0,2.62,
1001805497,SKEENA,BULK,Bulkley River,,1,1,2.61,
1024742362,SKEENA,BULK,Bulkley River,,4,2,2.59,
1010305179,FRASER,LFRA,Lower Fraser,,5,5,2.52,
1008501813,SKEENA,KITR,Kitimat River,,2,2,2.51,
1013905431,FRASER,MORK,Morkill River,,1,0,2.50,
1003607020,COASTAL,COWN,Cowichan,Stocking Creek,1,2,2.49,
1012202247,FRASER,LSAL,Lower Salmon River,,2,1,2.45,
1001805550,SKEENA,BULK,Bulkley River,Kathlyn Creek,3,1,2.39,
1012202219,FRASER,LSAL,Lower Salmon River,,1,3,2.39,
198044,SKEENA,BULK,Bulkley River,,1,3,2.34,
1006303969,FRASER,HARR,Harrison River,Hogg Slough,3,3,2.33,
1018303513,FRASER,SHUL,Shuswap Lake,Legerwood Creek,1,2,2.33,
1010304993,FRASER,LFRA,Lower Fraser,Como Creek,2,11,2.29,
1013905480,FRASER,MORK,Morkill River,Craibenn Creek,1,5,2.11,
1013905409,FRASER,MORK,Morkill River,,3,1,2.03,
1010305142,FRASER,LFRA,Lower Fraser,,3,3,1.97,
1013905536,FRASER,MORK,Morkill River,,1,0,1.90,
1001805484,SKEENA,BULK,Bulkley River,,1,2,1.83,
1010305076,FRASER,LFRA,Lower Fraser,,3,4,1.79,
